student_id,concept_id,attempts,historical_accuracy,interval_days,time_factor,forgetting_score,last_correct,category
2985,3,5,25.0,72.08194444444445,0.9608968543444854,0.720672640758364,1,🔴 紧急
2985,0,38,51.35135135135135,72.09791666666666,0.9609051783978898,0.4674673840854599,1,🔴 紧急
2985,2,12,72.72727272727273,72.07708333333333,0.9608943202333009,0.2620620873363548,0,🟠 重要
2985,9,2,0.0,0.0125,0.004243281471004243,0.004243281471004243,0,🟢 维持
2985,26,9,37.5,0.009722222222222222,0.0033034450212364322,0.00206465313827277,0,🟢 维持
2985,1,12,54.54545454545454,0.009027777777777777,0.003068208638187397,0.0013946402900851804,1,🟢 维持
2985,27,7,50.0,0.0020833333333333333,0.0007097232079489,0.00035486160397445,0,🟢 维持
2985,33,5,100.0,79.06111111111112,0.9642252185107392,0.0,0,🟢 维持
2985,5,2,100.0,0.015277777777777777,0.0051813471502590676,0.0,0,🟢 维持
2985,6,2,100.0,0.005555555555555556,0.001890359168241966,0.0,1,🟢 维持
2985,8,3,50.0,0.0,0.0,0.0,0,🟢 维持
1230,4,13,75.0,25.139583333333334,0.8955102040816326,0.22387755102040816,0,🟠 重要
1230,11,2,0.0,0.002777777777777778,0.000946073793755913,0.000946073793755913,0,🟢 维持
1230,7,15,21.428571428571427,0.002777777777777778,0.000946073793755913,0.0007433436950939316,0,🟢 维持
1230,26,14,46.15384615384615,0.003472222222222222,0.0011823126034523528,0.0006366298633974207,0,🟢 维持
1230,0,37,47.22222222222222,0.003472222222222222,0.0011823126034523528,0.0006239983184887417,0,🟢 维持
1230,8,3,0.0,0.001388888888888889,0.000473260766682442,0.000473260766682442,0,🟢 维持
1230,10,9,37.5,0.001388888888888889,0.000473260766682442,0.00029578797917652626,1,🟢 维持
1230,5,2,0.0,0.0006944444444444445,0.00023668639053254438,0.00023668639053254438,1,🟢 维持
1230,2,15,42.857142857142854,0.0006944444444444445,0.00023668639053254438,0.00013524936601859677,1,🟢 维持
1230,1,16,46.666666666666664,0.0006944444444444445,0.00023668639053254438,0.000126232741617357,0,🟢 维持
1230,27,14,61.53846153846154,0.0,0.0,0.0,0,🟢 维持
1230,33,4,100.0,0.0020833333333333333,0.0007097232079489,0.0,0,🟢 维持
1230,3,7,33.33333333333333,0.0,0.0,0.0,0,🟢 维持
1230,9,2,100.0,0.001388888888888889,0.000473260766682442,0.0,1,🟢 维持
4730,23,9,25.0,28.852777777777778,0.9077165079087652,0.6807873809315739,0,🔴 紧急
4730,20,7,33.33333333333333,37.891666666666666,0.9281486017554603,0.6187657345036403,0,🔴 紧急
4730,36,8,42.857142857142854,12.859722222222222,0.8142643566968605,0.46529391811249166,0,🔴 紧急
4730,25,5,75.0,28.856944444444444,0.9077286032592075,0.22693215081480186,1,🟠 重要
4730,17,2,0.0,0.004166666666666667,0.0014184397163120568,0.0014184397163120568,1,🟢 维持
4730,37,8,57.14285714285714,0.007638888888888889,0.0025974025974025974,0.0011131725417439704,0,🟢 维持
4730,21,2,0.0,0.001388888888888889,0.000473260766682442,0.000473260766682442,0,🟢 维持
4730,24,8,85.71428571428571,0.008333333333333333,0.0028328611898017,0.00040469445568595727,1,🟢 维持
4730,34,5,0.0,0.0006944444444444445,0.00023668639053254438,0.00023668639053254438,0,🟢 维持
4730,35,8,28.57142857142857,0.0006944444444444445,0.00023668639053254438,0.000169061707523246,0,🟢 维持
4730,2,3,100.0,149.49305555555554,0.9807557381978551,0.0,1,🟢 维持
4730,18,4,100.0,0.001388888888888889,0.000473260766682442,0.0,1,🟢 维持
2480,24,3,0.0,0.001388888888888889,0.000473260766682442,0.000473260766682442,1,🟢 维持
2480,4,12,27.27272727272727,0.001388888888888889,0.000473260766682442,0.0003441896484963215,0,🟢 维持
2480,17,7,50.0,0.001388888888888889,0.000473260766682442,0.000236630383341221,0,🟢 维持
2480,33,4,66.66666666666666,0.0020833333333333333,0.0007097232079489,0.00023657440264963334,1,🟢 维持
2480,25,4,66.66666666666666,0.001388888888888889,0.000473260766682442,0.00015775358889414735,0,🟢 维持
2480,2,7,100.0,0.001388888888888889,0.000473260766682442,0.0,1,🟢 维持
2480,0,2,100.0,0.001388888888888889,0.000473260766682442,0.0,0,🟢 维持
2480,15,3,100.0,0.0006944444444444445,0.00023668639053254438,0.0,1,🟢 维持
2480,29,5,100.0,0.001388888888888889,0.000473260766682442,0.0,1,🟢 维持
2480,23,8,42.857142857142854,0.0,0.0,0.0,1,🟢 维持
3398,11,6,40.0,19.9375,0.8717434869739479,0.5230460921843687,0,🔴 紧急
3398,30,3,50.0,0.06180555555555556,0.020635288662184094,0.010317644331092047,0,🟢 维持
3398,33,4,33.33333333333333,0.006944444444444444,0.0023618327822390174,0.0015745551881593451,1,🟢 维持
3398,26,7,50.0,0.0020833333333333333,0.0007097232079489,0.00035486160397445,0,🟢 维持
3398,0,15,64.28571428571429,0.001388888888888889,0.000473260766682442,0.0001690217023865864,1,🟢 维持
3398,29,10,66.66666666666666,0.001388888888888889,0.000473260766682442,0.00015775358889414735,0,🟢 维持
3398,13,6,40.0,0.0006944444444444445,0.00023668639053254438,0.00014201183431952663,0,🟢 维持
3398,4,24,82.6086956521739,0.0020833333333333333,0.0007097232079489,0.00012343012312154782,1,🟢 维持
3398,2,7,50.0,0.0006944444444444445,0.00023668639053254438,0.00011834319526627219,0,🟢 维持
3398,8,17,50.0,0.0006944444444444445,0.00023668639053254438,0.00011834319526627219,0,🟢 维持
3398,15,7,50.0,0.0006944444444444445,0.00023668639053254438,0.00011834319526627219,0,🟢 维持
3398,17,17,62.5,0.0006944444444444445,0.00023668639053254438,8.875739644970414e-05,1,🟢 维持
3398,28,10,66.66666666666666,0.0006944444444444445,0.00023668639053254438,7.889546351084813e-05,0,🟢 维持
3398,10,18,70.58823529411765,0.0006944444444444445,0.00023668639053254438,6.961364427427775e-05,1,🟢 维持
3398,27,7,83.33333333333334,0.0006944444444444445,0.00023668639053254438,3.9447731755424054e-05,0,🟢 维持
3398,31,7,83.33333333333334,0.0006944444444444445,0.00023668639053254438,3.9447731755424054e-05,1,🟢 维持
3398,9,12,54.54545454545454,0.0,0.0,0.0,0,🟢 维持
3398,12,3,100.0,0.001388888888888889,0.000473260766682442,0.0,0,🟢 维持
3398,14,10,66.66666666666666,0.0,0.0,0.0,1,🟢 维持
3398,32,5,75.0,0.0,0.0,0.0,1,🟢 维持
3398,21,3,100.0,0.0006944444444444445,0.00023668639053254438,0.0,0,🟢 维持
